"","session","period","Ret1","Ret2","OFI1","OFI2","dummy_T1","participants","seed"
"1",1,1,-0.620122058890196,0.427918061735305,-0.430357728666816,0,1,10,90
"2",1,2,1.86022369563178,-0.573460154462354,0,-1.2126915043505,1,10,90
"3",1,3,-0.358836464592629,0.16603921141959,1.93660977900067,-2.42538300870101,1,10,90
"4",1,4,-0.312426622206008,1.46429264588392,-0.430357728666816,-1.2126915043505,1,10,90
"5",1,5,0.251392715837647,-1.15665144389569,0.645536593000224,-1.2126915043505,1,10,90
"6",1,6,1.87003169360933,1.46838614808852,1.01825681603598,0.990158467022287,1,10,90
"7",1,7,-0.551724593518648,0.83454652951967,-0.814605452828781,0.247539616755572,1,10,90
"8",1,8,-0.515127532772218,0.563675870027794,0.407302726414391,-0.990158467022287,1,10,90
"9",1,9,0.425611071846375,1.23866980548348,-0.203651363207195,0.247539616755572,1,10,90
"10",1,10,-0.0952353890347072,-1.06791906390623,-0.203651363207195,-1.48523770053343,1,10,90
"11",1,11,0.19979773253756,-0.693866283883477,-0.614509623555221,-1.36084264854418,1,10,90
"12",1,12,-1.99048668703553,0.192918402279179,0,0.340210662136046,1,10,90
"13",1,13,0.114564699540718,1.03411709688284,-0.921764435332831,1.36084264854418,1,10,90
"14",1,14,0.329222598523456,0.55043439888644,0.614509623555221,0.340210662136046,1,10,90
"15",1,15,0.305601452714256,2.00385541490571,-0.30725481177761,-0.340210662136046,1,10,90
"16",1,16,-0.475943062480689,2.07399816577385,0,0.684660750485771,1,10,90
"17",1,17,-0.50371694629264,-0.325432988082031,0,0.228220250161924,1,10,90
"18",1,18,-0.392715558471186,-0.0880891757771598,0,-1.14110125080962,1,10,90
"19",1,19,1.23245849187158,-0.248965485150874,-2.10563645938776,1.59754175113347,1,10,90
"20",1,20,-1.55627074002719,0.514787896325629,0,0.456440500323848,1,10,90
"21",1,21,0.416201980180774,-1.20795168171422,0.225767684175008,0.224283126439429,1,10,90
"22",1,22,-0.52052699155911,-0.338917353097178,0,-0.448566252878858,1,10,90
"23",1,23,0.763541129935567,1.55641015979146,0.903070736700032,1.12141563219714,1,10,90
"24",1,24,0.542132699130494,-0.0257957661647041,0,0.448566252878858,1,10,90
"25",1,25,-1.64893650250783,-0.065053502680756,-1.80614147340006,-1.569981885076,1,10,90
"26",1,26,-1.89076822997272,-0.313835682532579,-0.436652910275698,0.668160476344062,1,10,90
"27",1,27,-0.00941482127684464,0.388261587634474,0.873305820551397,0.668160476344062,1,10,90
"28",1,28,-0.647448275928869,-1.68614733540636,1.3099587308271,-1.33632095268812,1,10,90
"29",1,29,-1.81151428387663,0.232844632171003,-1.09163227568925,-1.33632095268812,1,10,90
"30",1,30,0.267909810297621,0.94406702722019,0,0,1,10,90
"31",1,31,-0.751772373970149,-1.13137530375468,0.596230140629911,0.3801471546553,1,10,90
"32",1,32,1.53684706767662,1.32955237589703,-0.894345210944866,-0.3801471546553,1,10,90
"33",1,33,-0.41397421829088,-0.965666409909644,0,0,1,10,90
"34",1,34,-0.805860546301566,0.234584836748605,1.19246028125982,0.3801471546553,1,10,90
"35",1,35,0.503077497989375,-0.344577558718976,0.894345210944866,-1.1404414639659,1,10,90
"36",1,36,0.342107060125496,0.606878141497801,-1.61345663893184,-0.241404938122437,1,10,90
"37",1,37,-1.7856738841627,-1.6484588613936,0,-1.20702469061219,1,10,90
"38",1,38,0.831016192986403,0.485343908994737,0.645382655572734,1.44842962873462,1,10,90
"39",1,39,0.0007398048612867,0.473142689068878,0,0.241404938122437,1,10,90
"40",1,40,0.195833044801871,-0.77624171949568,0.968073983359101,-0.724214814367311,1,10,90
"41",1,41,-1.65731154039268,-1.13400693909337,-0.683067437762683,0,1,10,90
"42",1,42,-0.649595007129067,-1.05172847248584,0.227689145920894,0.350073883240368,1,10,90
"43",1,43,-0.846574967804021,1.27292629073841,0.910756583683577,-0.700147766480736,1,10,90
"44",1,44,1.04473798797081,0.283442854479238,0,-1.40029553296147,1,10,90
"45",1,45,-0.937792081884625,-0.245657499119352,0.910756583683577,-0.350073883240368,1,10,90
"46",1,46,-0.977449952579218,-1.41477008509981,0,-0.647908467316229,1,10,90
"47",1,47,0.808395971589296,-0.742116550236429,1.12266423553434,0,1,10,90
"48",1,48,-1.57261017906159,-0.976532339500185,0,0.863877956421639,1,10,90
"49",1,49,-0.294350373266767,1.17110614524497,-0.280666058883585,0.863877956421639,1,10,90
"50",1,50,0.532438528267444,-0.16413615866176,-0.280666058883585,0,1,10,90
"51",1,51,0.871264067998066,-0.0336476679986809,-0.742572593262577,0.257515942388751,1,10,90
"52",1,52,-1.88801494049214,-0.940872648198106,0,-1.5450956543325,1,10,90
"53",1,53,-0.516240229178673,1.22296519775526,1.48514518652515,1.030063769555,1,10,90
"54",1,54,-0.0484127392343243,-1.151809379286,-0.371286296631288,-0.772547827166252,1,10,90
"55",1,55,-0.193298158463822,-1.01271359433869,0,0.257515942388751,1,10,90
"56",1,56,-0.148776106069053,-0.0533842917162096,0.596230140629911,0.356239180192314,1,10,90
"57",1,57,0.642319481866083,1.55867990850453,0,-0.356239180192314,1,10,90
"58",1,58,0.327059622511317,-0.431806984695089,0.298115070314955,1.06871754057694,1,10,90
"59",1,59,-1.02301277788239,1.88474811790089,-0.894345210944866,-1.06871754057694,1,10,90
"60",1,60,-1.79057753193037,0.884151232204474,-0.894345210944866,0.356239180192314,1,10,90
"61",1,61,-0.423820075827785,2.07662803670381,0.610954089621586,0,1,10,90
