"","session","period","Ret1","Ret2","OFI1","OFI2","dummy_T1"
"1",1,1,0.731133592101782,0.773005107128359,1.76691874791867,0.796771936186607,1
"2",1,2,0.241061623620708,1.08945704958819,0,0.398385968093304,1
"3",1,3,0.193685853381209,-0.766690694161134,0.883459373959335,0.398385968093304,1
"4",1,4,-1.60207754521791,1.31324514175762,0.883459373959335,1.99192984046652,1
"5",1,5,0.922171719874221,-0.698687463943709,0.883459373959335,-0.796771936186607,1
"6",1,6,1.06798019449982,-0.535769472813013,0,0,1
"7",1,7,-0.100017331746836,-0.662330898493243,1.0905659276587,-1.38870190809125,1
"8",1,8,-0.179939507328447,1.32282523728364,1.0905659276587,1.38870190809125,1
"9",1,9,2.0777035725454,0.155743604416972,1.0905659276587,0,1
"10",1,10,-0.115194823517745,-1.30820242758716,-1.0905659276587,0,1
"11",1,11,0.818071446800493,-1.8680927581033,0.956270691050342,-1.03183760251949,1
"12",1,12,-0.285419247380835,0.517789330119445,-1.19533836381293,0.515918801259743,1
"13",1,13,-1.88578002791817,0.634647218713856,0,0,1
"14",1,14,-0.0625305428545436,-0.26150618823842,0,-0.515918801259743,1
"15",1,15,0.133733762492012,-0.354248919914588,0.478135345525171,-2.06367520503897,1
"16",1,16,0.823305857625001,0.622519736780819,-0.265995457233845,0.389997955667382,1
"17",1,17,0.337650960094515,1.08331186168863,0.797986371701534,1.16999386700215,1
"18",1,18,1.07115603339977,0.87254528600289,0.531990914467689,-0.389997955667382,1
"19",1,19,0.32029214037919,-1.07726519033614,0.265995457233845,0,1
"20",1,20,-1.47935294319622,-0.78683389379214,-1.06398182893538,0.389997955667382,1
"21",1,21,-0.261551098200164,-0.400897302597507,-0.356064322127678,-0.486412910549865,1
"22",1,22,-1.6416152748415,1.28810763810216,0,-0.486412910549865,1
"23",1,23,1.06815610758245,-0.818610532911125,0,0.97282582109973,1
"24",1,24,-0.0303231684056219,-0.303806606593265,0.712128644255356,0,1
"25",1,25,-0.810065027310161,1.27885902148919,0,1.4592387316496,1
"26",1,26,-0.539501492924191,1.31023513071832,0,0,1
"27",1,27,-1.25111542827724,-0.55995451800277,-0.818838838925874,-1.28166406619955,1
"28",1,28,-1.32827692645758,-1.04029191470519,-0.818838838925874,-0.854442710799699,1
"29",1,29,-1.59508034568233,0.703692202182395,-0.409419419462937,0.42722135539985,1
"30",1,30,0.880157586385409,-0.634082172051805,0,-0.42722135539985,1
"31",1,31,1.02276690232587,-2.00938543973043,-0.349902051378219,0,1
"32",1,32,0.380877328336243,0.404880646618909,0,-1.22600576026273,1
"33",1,33,-0.399199113947523,-0.00234169566766314,-0.699804102756437,-1.22600576026273,1
"34",1,34,-1.65991989891359,0.260768294982488,-0.699804102756437,0.613002880131367,1
"35",1,35,-0.208563751276442,0.142304343159047,0,-1.22600576026273,1
"36",1,36,1.27647324798474,-0.789963572899796,-0.883459373959335,-1.57890150487087,1
"37",1,37,-1.43586396310129,-0.664297404892943,-0.883459373959335,0,1
