"","session","period","Ret1","Ret2","OFI1_Hum","OFI2_Hum","OFI1_Noise","OFI2_Noise","dummy_sep"
"1",1,1,-0.620122058890196,0.427918061735305,-1.16099139808391,0.615464245081983,-0.215178864333408,-0.691722095375548,1
"2",1,2,1.86022369563178,-0.573460154462354,0,0.307732122540991,0,-1.03758314306332,1
"3",1,3,-0.358836464592629,0.16603921141959,-1.16099139808391,-1.53866061270496,1.93660977900067,-1.03758314306332,1
"4",1,4,-0.312426622206008,1.46429264588392,0.580495699041957,0.307732122540991,-0.215178864333408,1.3834441907511,1
"5",1,5,0.251392715837647,-1.15665144389569,-1.74148709712587,-0.615464245081983,1.29107318600045,0,1
"6",1,6,1.87003169360933,1.46838614808852,0,0.833342527287718,0.543121882861597,0.721695798685091,1
"7",1,7,-0.551724593518648,0.83454652951967,-0.483001617249713,-1.25001379093158,0,0,1
"8",1,8,-0.515127532772218,0.563675870027794,1.44900485174914,0,0.271560941430799,-0.360847899342545,1
"9",1,9,0.425611071846375,1.23866980548348,-0.966003234499426,-0.416671263643859,-0.814682824292396,0.360847899342545,1
"10",1,10,-0.0952353890347072,-1.06791906390623,0,-0.416671263643859,0,-1.44339159737018,1
"11",1,11,0.19979773253756,-0.693866283883477,-0.457336917189663,-0.870397882550659,-0.480696107106263,-1.30559682382599,1
"12",1,12,-1.99048668703553,0.192918402279179,1.37201075156899,1.30559682382599,-1.44208832131879,1.30559682382599,1
"13",1,13,0.114564699540718,1.03411709688284,-0.457336917189663,0.870397882550659,-0.961392214212526,0.435198941275329,1
"14",1,14,0.329222598523456,0.55043439888644,0.457336917189663,-0.870397882550659,0.480696107106263,-0.435198941275329,1
"15",1,15,0.305601452714256,2.00385541490571,-0.457336917189663,0,0,0.435198941275329,1
"16",1,16,-0.475943062480689,2.07399816577385,0.694859855237615,0,0.597325146402044,0.249690839464495,1
"17",1,17,-0.50371694629264,-0.325432988082031,-0.347429927618807,0,-1.19465029280409,0.499381678928989,1
"18",1,18,-0.392715558471186,-0.0880891757771598,-1.73714963809404,-1.5205886186212,0.597325146402044,-0.749072518393484,1
"19",1,19,1.23245849187158,-0.248965485150874,0,1.1404414639659,-0.597325146402044,1.99752671571596,1
"20",1,20,-1.55627074002719,0.514787896325629,0.694859855237615,0,-1.19465029280409,0,1
"21",1,21,0.416201980180774,-1.20795168171422,-0.600646720551483,0,0.926735988325859,0,1
"22",1,22,-0.52052699155911,-0.338917353097178,0,0.464243467266036,0,-0.279075865031932,1
"23",1,23,0.763541129935567,1.55641015979146,0.600646720551483,-1.39273040179811,0.926735988325859,1.39537932515966,1
"24",1,24,0.542132699130494,-0.0257957661647041,-1.20129344110297,-0.464243467266036,0.46336799416293,1.11630346012773,1
"25",1,25,-1.64893650250783,-0.065053502680756,-1.20129344110297,-1.39273040179811,-0.46336799416293,-0.837227595095797,1
"26",1,26,-1.89076822997272,-0.313835682532579,-0.550706574271263,0.780877424569688,-0.398216764268029,0.47036562355865,1
"27",1,27,-0.00941482127684464,0.388261587634474,0.550706574271263,1.56175484913938,1.19465029280409,0,1
"28",1,28,-0.647448275928869,-1.68614733540636,1.10141314854253,-0.780877424569688,-0.398216764268029,-1.41109687067595,1
"29",1,29,-1.81151428387663,0.232844632171003,1.65211972281379,1.56175484913938,-1.59286705707212,-1.8814624942346,1
"30",1,30,0.267909810297621,0.94406702722019,-0.550706574271263,0,0,0,1
"31",1,31,-0.751772373970149,-1.13137530375468,-0.300323360275742,0,0,0,1
"32",1,32,1.53684706767662,1.32955237589703,-0.600646720551483,0.668160476344062,0.359241358412235,-0.601935906361097,1
